title,description,personas,category,image_url,text_cleaned,text_cleaned_lemmatized,website
Ever,"His new venture, , is already highly acclaimed by chefs and critics alike and was featured in season two of the Chicago-based show The Bear. The fine dining spot, which features tasting menus focused on seafood, grains, and vegetables, has earned the chef two Michelin stars. You can also stop by After, the adjoining cocktail bar for upscale bar bites and an otherworldly vibe.",luxury,top chefs,,his new venture is already highly acclaimed by chefs and critics alike and was featured in season two of the chicago based show the bear the fine dining spot which features tasting menus focused on seafood grains and vegetables has earned the chef two michelin stars you can also stop by after the adjoining cocktail bar for upscale bar bites and an otherworldly vibe ,new venture already highly acclaimed chef critic alike featured season two chicago based show bear fine dining spot feature tasting menu focused seafood grain vegetable earned chef two michelin star also stop adjoining cocktail bar upscale bar bite otherworldly vibe,choosechicago
Mindy  Bakery,"For a little sweetness on your Chicago top chef tour, stop by . Mindy, a winner of the James Beard Award for Outstanding Pastry Chef, is known for her out-of-this-world pastries and desserts, but the savory bites (like the award-winning bagels) at her beloved Wicker Park bakery are also not to be missed.",luxury,top chefs,,for a little sweetness on your chicago top chef tour stop by mindy a winner of the james beard award for outstanding pastry chef is known for her out of this world pastries and desserts but the savory bites like the award winning bagels at her beloved wicker park bakery are also not to be missed ,little sweetness chicago top chef tour stop mindy winner james beard award outstanding pastry chef known world pastry dessert savory bite like award winning bagel beloved wicker park bakery also missed,choosechicago
Alinea,"It‚Äôs hard to think of an honor that  hasn‚Äôt won. With three Michelin stars and six James Beard nods for its chef Grant Achatz,  is one of the most recognized restaurants in the world. It‚Äôs also one of the best, earning an annual spot on the list of the World‚Äôs 50 Best Restaurants. ‚Äôs avant-garde dishes showcase the most cutting-edge molecular gastronomy techniques, while never failing to taste amazing. The multi-course tasting menu is considered the experience of a lifetime for many fine-dining foodies.",luxury,fine dining,https://cdn.choosechicago.com/uploads/2019/06/Alinea_scallop_6-e1563763981481-750x371.jpg,it s hard to think of an honor that hasn t won with three michelin stars and six james beard nods for its chef grant achatz is one of the most recognized restaurants in the world it s also one of the best earning an annual spot on the list of the world s  best restaurants s avant garde dishes showcase the most cutting edge molecular gastronomy techniques while never failing to taste amazing the multi course tasting menu is considered the experience of a lifetime for many fine dining foodies ,hard think honor three michelin star six james beard nod chef grant achatz one recognized restaurant world also one best earning annual spot list world best restaurant avant garde dish showcase cutting edge molecular gastronomy technique never failing taste amazing multi course tasting menu considered experience lifetime many fine dining foodie,choosechicago
Kasama,"Nestled in the charming Ukrainian Village,  offers a sophisticated tasting menu of Filipino cuisine. The bright space offers a daytime service for breakfast and lunch, consisting of sweet and savory pastries, cheesy breakfast sandwiches, and Filipino comfort food favorites. But in the evening,  pulls out all the stops for its Michelin-starred dinner service. The dishes in the 13-course fine dining experience rotate regularly, but the Filipino flavors always shine through.",luxury,fine dining,https://cdn.choosechicago.com/uploads/2020/10/salmondanish-900x600.jpg,nestled in the charming ukrainian village offers a sophisticated tasting menu of filipino cuisine the bright space offers a daytime service for breakfast and lunch consisting of sweet and savory pastries cheesy breakfast sandwiches and filipino comfort food favorites but in the evening pulls out all the stops for its michelin starred dinner service the dishes in the  course fine dining experience rotate regularly but the filipino flavors always shine through ,nestled charming ukrainian village offer sophisticated tasting menu filipino cuisine bright space offer daytime service breakfast lunch consisting sweet savory pastry cheesy breakfast sandwich filipino comfort food favorite evening pull stop michelin starred dinner service dish course fine dining experience rotate regularly filipino flavor always shine,choosechicago
BOKA,"A long-time classic in Chiago‚Äôs dining scene,  embodies the essence of fine dining and warm Midwestern hospitality. For more than a decade, the Michelin Guide has annually awarded a Michelin star to this Lincoln Park institution ‚Äî a testament to the chic restaurant‚Äôs consistent excellence and impeccable standards. Using seasonal, locally sourced ingredients, ‚Äôs culinary artists craft complex flavors and textures that elevate contemporary American cuisine.",luxury,fine dining,https://cdn.choosechicago.com/uploads/2019/05/ebk_20140213_boka_interior_high_0002_c2c374fa-8c07-4596-8c88-1b5bf9721935-e1563989923853-900x569.jpg,a long time classic in chiago s dining scene embodies the essence of fine dining and warm midwestern hospitality for more than a decade the michelin guide has annually awarded a michelin star to this lincoln park institution a testament to the chic restaurant s consistent excellence and impeccable standards using seasonal locally sourced ingredients s culinary artists craft complex flavors and textures that elevate contemporary american cuisine ,long time classic chiago dining scene embodies essence fine dining warm midwestern hospitality decade michelin guide annually awarded michelin star lincoln park institution testament chic restaurant consistent excellence impeccable standard using seasonal locally sourced ingredient culinary artist craft complex flavor texture elevate contemporary american cuisine,choosechicago
Esm√©,"The aesthetic inside Michelin-starred , located in Lincoln Park, is reminiscent of a contemporary art gallery with its minimalist decor and natural materials. It‚Äôs only fitting, considering that each plate from ‚Äôs modern American tasting menu is a work of art in itself. The menu changes frequently and experiments with playful and unique textures, colors, shapes, and colors. Stop by the adjacent Bar  for a more casual dining experience.",luxury,fine dining,https://cdn.choosechicago.com/uploads/2021/06/EsmeÃÅ_salmon_credit-Sandy_Noto-900x600.jpg,the aesthetic inside michelin starred located in lincoln park is reminiscent of a contemporary art gallery with its minimalist decor and natural materials it s only fitting considering that each plate from s modern american tasting menu is a work of art in itself the menu changes frequently and experiments with playful and unique textures colors shapes and colors stop by the adjacent bar for a more casual dining experience ,aesthetic inside michelin starred located lincoln park reminiscent contemporary art gallery minimalist decor natural material fitting considering plate modern american tasting menu work art menu change frequently experiment playful unique texture color shape color stop adjacent bar casual dining experience,choosechicago
Smyth,"The recipient of Michelin‚Äôs highest honor, three-starred  is helmed by power couple John Shields and Karen Urie Shields. After spending time in Chicago‚Äôs top kitchens, they defied expectations by taking their talents to a small rural county in Virginia. They brought that love of farm-fresh fare back to Chicago and incorporated it into the cuisine at , where the tasting menu changes daily and with the seasons. After dinner, head downstairs to The Loyalist for a vibe-y nightcap and one of the city‚Äôs best burgers.",luxury,fine dining,https://cdn.choosechicago.com/uploads/2022/05/symth-the-loyalist-900x600.jpeg,the recipient of michelin s highest honor three starred is helmed by power couple john shields and karen urie shields after spending time in chicago s top kitchens they defied expectations by taking their talents to a small rural county in virginia they brought that love of farm fresh fare back to chicago and incorporated it into the cuisine at where the tasting menu changes daily and with the seasons after dinner head downstairs to the loyalist for a vibe y nightcap and one of the city s best burgers ,recipient michelin highest honor three starred helmed power couple john shield karen urie shield spending time chicago top kitchen defied expectation taking talent small rural county virginia brought love farm fresh fare back chicago incorporated cuisine tasting menu change daily season dinner head downstairs loyalist vibe nightcap one city best burger,choosechicago
Galit,"Middle Eastern and Israeli cuisines are the stars of the show at  in Lincoln Park. Guests to this Michelin-starred spot will enjoy a multicourse meal of creamy hummus, refreshing mezze, grilled mains ‚Äî which include seafood, red meat, and veggies ‚Äî and a sophisticated dessert. Book a spot at their kitchen counter for a view of the bustling open kitchen. The cocktail menu also highlights ingredients from the Middle East, such as Medjool dates and saffron.",luxury,fine dining,https://cdn.choosechicago.com/uploads/2019/12/Image-4-900x600.jpeg,middle eastern and israeli cuisines are the stars of the show at in lincoln park guests to this michelin starred spot will enjoy a multicourse meal of creamy hummus refreshing mezze grilled mains which include seafood red meat and veggies and a sophisticated dessert book a spot at their kitchen counter for a view of the bustling open kitchen the cocktail menu also highlights ingredients from the middle east such as medjool dates and saffron ,middle eastern israeli cuisine star show lincoln park guest michelin starred spot enjoy multicourse meal creamy hummus refreshing mezze grilled main include seafood red meat veggie sophisticated dessert book spot kitchen counter view bustling open kitchen cocktail menu also highlight ingredient middle east medjool date saffron,choosechicago
Jeong,"Now, the duo serves inventive Korean cuisine at their sleek and modern new space ‚Äî  in the ultra-hip West Town neighborhood. As with Hanbun, the spot has been flooded with Chicagoans, visitors, and restaurant critics alike.  offers a Korean-inspired tasting menu of perfectly executed dishes, featuring inventive ideas and elegant presentations.",luxury,fine dining,,now the duo serves inventive korean cuisine at their sleek and modern new space in the ultra hip west town neighborhood as with hanbun the spot has been flooded with chicagoans visitors and restaurant critics alike offers a korean inspired tasting menu of perfectly executed dishes featuring inventive ideas and elegant presentations ,duo serf inventive korean cuisine sleek modern new space ultra hip west town neighborhood hanbun spot flooded chicagoans visitor restaurant critic alike offer korean inspired tasting menu perfectly executed dish featuring inventive idea elegant presentation,choosechicago
Ever,"The stunning dining room at  is just a hint of the meal experience that‚Äôs ahead. And it truly is an experience ‚Äî the menu is an 8- to 10-course meal that changes frequently with the seasons, dreamed up by acclaimed chef Curtis Duffy. Each night‚Äôs wine pairings are carefully curated to accompany each dish. The West Loop restaurant is the proud owner of two Michelin stars and guarantees an unforgettable evening. Top off the evening at the chic in-house cocktail bar and lounge After, offering sophisticated vibes and an impressive menu of handcrafted drinks.",luxury,fine dining,https://cdn.choosechicago.com/uploads/2019/06/3-Ever-Main-Dining-Room-3-Photo-by-Michael-Muser-900x600.jpg,the stunning dining room at is just a hint of the meal experience that s ahead and it truly is an experience the menu is an  to  course meal that changes frequently with the seasons dreamed up by acclaimed chef curtis duffy each night s wine pairings are carefully curated to accompany each dish the west loop restaurant is the proud owner of two michelin stars and guarantees an unforgettable evening top off the evening at the chic in house cocktail bar and lounge after offering sophisticated vibes and an impressive menu of handcrafted drinks ,stunning dining room hint meal experience ahead truly experience menu course meal change frequently season dreamed acclaimed chef curtis duffy night wine pairing carefully curated accompany dish west loop restaurant proud owner two michelin star guarantee unforgettable evening top evening chic house cocktail bar lounge offering sophisticated vibe impressive menu handcrafted drink,choosechicago
Moody Tongue,"It‚Äôs not often that you find a fine-dining tasting menu inside of a brewery. But everything about  will subvert your expectations. The kitchen at their intimate South Loop space is helmed by nine-time Michelin star chef Jared Wentworth, who has crafted a menu designed to thoughtfully elevate the intersection of food and beer. Expect refined, hyper-seasonal dishes alongside specialty beer pairings (of course). If you‚Äôre looking for something more casual, The Bar serves an √† la carte food menu in a comfortable atmosphere.",luxury,fine dining,https://cdn.choosechicago.com/uploads/2019/06/Moody-Tongue_The-Dining-Room-900x600.jpg,it s not often that you find a fine dining tasting menu inside of a brewery but everything about will subvert your expectations the kitchen at their intimate south loop space is helmed by nine time michelin star chef jared wentworth who has crafted a menu designed to thoughtfully elevate the intersection of food and beer expect refined hyper seasonal dishes alongside specialty beer pairings of course if you re looking for something more casual the bar serves an √† la carte food menu in a comfortable atmosphere ,often find fine dining tasting menu inside brewery everything subvert expectation kitchen intimate south loop space helmed nine time michelin star chef jared wentworth crafted menu designed thoughtfully elevate intersection food beer expect refined hyper seasonal dish alongside specialty beer pairing course looking something casual bar serf √† la carte food menu comfortable atmosphere,choosechicago
North Pond,"Dinner at  always feels like going home ‚Äî if home happens to be a cozy former boat house in Chicago‚Äôs historic Lincoln Park, that is. The short stroll through the park to  gives a hungry diner time to appreciate the gorgeous surroundings, before heading inside to enjoy an unforgettable tasting menu. Warm up by the fireplace in the winter, enjoy the birdsong in summer, and appreciate the glowing oak of the Prairie-style decor all year round with a thoughtful menu that changes with the seasons.",luxury,fine dining,https://cdn.choosechicago.com/uploads/2019/06/northpond_restaurant-900x563.jpg,dinner at always feels like going home if home happens to be a cozy former boat house in chicago s historic lincoln park that is the short stroll through the park to gives a hungry diner time to appreciate the gorgeous surroundings before heading inside to enjoy an unforgettable tasting menu warm up by the fireplace in the winter enjoy the birdsong in summer and appreciate the glowing oak of the prairie style decor all year round with a thoughtful menu that changes with the seasons ,dinner always feel like going home home happens cozy former boat house chicago historic lincoln park short stroll park give hungry diner time appreciate gorgeous surroundings heading inside enjoy unforgettable tasting menu warm fireplace winter enjoy birdsong summer appreciate glowing oak prairie style decor year round thoughtful menu change season,choosechicago
Oriole,"Granted, it‚Äôs not that easy to spot the entrance to  on the alley-side ground floor of a defunct glue factory in the West Loop. But once you realize your GPS is correct, and you see the discreet sign on the black-painted brick, you‚Äôre in for a treat. There‚Äôs the cinematic entrance to the den-like restaurant via a former freight elevator door. With only 28 seats and an open kitchen, the feeling is intimate. And every detail, from the soft lighting that shines perfectly on each table to the creamy paper lanterns floating from the ceiling, is a zen-like poem of understatement. Because here, the focus is on Chef Noah Sandoval‚Äôs multi-course tasting menu; an exquisite experience that unfolds in perfect harmony as an ode to American cuisine in all its culturally diverse facets, textures, and tastes.",luxury,fine dining,,granted it s not that easy to spot the entrance to on the alley side ground floor of a defunct glue factory in the west loop but once you realize your gps is correct and you see the discreet sign on the black painted brick you re in for a treat there s the cinematic entrance to the den like restaurant via a former freight elevator door with only  seats and an open kitchen the feeling is intimate and every detail from the soft lighting that shines perfectly on each table to the creamy paper lanterns floating from the ceiling is a zen like poem of understatement because here the focus is on chef noah sandoval s multi course tasting menu an exquisite experience that unfolds in perfect harmony as an ode to american cuisine in all its culturally diverse facets textures and tastes ,granted easy spot entrance alley side ground floor defunct glue factory west loop realize gps correct see discreet sign black painted brick treat cinematic entrance den like restaurant via former freight elevator door seat open kitchen feeling intimate every detail soft lighting shine perfectly table creamy paper lantern floating ceiling zen like poem understatement focus chef noah sandoval multi course tasting menu exquisite experience unfolds perfect harmony ode american cuisine culturally diverse facet texture taste,choosechicago
Sepia,"In a late 19th-century former print shop,  has the, well, sepia-toned feel of a classic. The upscale spot still shines after more than a decade in business. Filled with hand-crafted millwork, burnished brass, and vintage stemware makes an ideal setting for an intimate meal between friends or business colleagues. Chef Andrew Zimmerman‚Äôs inventive seasonal menu is designed to showcase the flavors of the mostly organic ingredients.",luxury,fine dining,https://cdn.choosechicago.com/uploads/2019/06/sepia-900x739.jpg,in a late th century former print shop has the well sepia toned feel of a classic the upscale spot still shines after more than a decade in business filled with hand crafted millwork burnished brass and vintage stemware makes an ideal setting for an intimate meal between friends or business colleagues chef andrew zimmerman s inventive seasonal menu is designed to showcase the flavors of the mostly organic ingredients ,late th century former print shop well sepia toned feel classic upscale spot still shine decade business filled hand crafted millwork burnished brass vintage stemware make ideal setting intimate meal friend business colleague chef andrew zimmerman inventive seasonal menu designed showcase flavor mostly organic ingredient,choosechicago
Alinea,"Enjoy a unique, multi-course tasting menu experience in one of our main dining rooms at Alinea, located in the Lincoln Park neighborhood of Chicago.",luxury,three stars michelin,,enjoy a unique mult-course tasting menu experience in one of our main dining room at alinea located in the lincoln park neighborhood of chicago,enjoy a unique mult-course tasting menu experience in one of our main dining room at alinea located in the lincoln park neighborhood of chicago,choosechicago
Smyth,"At Smyth, creativity ebbs and flows from the ocean. The ocean bestows purity unparalleled, and its abundance is featured both prominently and delicately throughout the menu. These offerings are served in harmonization with its finest produce nature has to offer, grown in close collaboration with small farmers, and followed by one or two servings of meat. The menu culminates in a series of sweet servings that carefully walk the fine line between providing something new while also bringing a sense of the familiar.",luxury,three stars michelin,,at smyth creativity ebbs and flow from the ocean the ocean bestow purity unparalleled and it abundance be feature both prominently and delicately throughout the menu these offering be serve in harmonization with it finest produce nature have to offer grow in close collaboration with small farmer and follow by one or two serving of meat the menu culminate in a series of sweet serving that carefully walk the fine line between provide something new while also bring a sense of the familiar,at smyth creativity ebbs and flow from the ocean the ocean bestow purity unparalleled and it abundance be feature both prominently and delicately throughout the menu these offering be serve in harmonization with it finest produce nature have to offer grow in close collaboration with small farmer and follow by one or two serving of meat the menu culminate in a series of sweet serving that carefully walk the fine line between provide something new while also bring a sense of the familiar,choosechicago
Ever,"Ever is for those seeking an epic dining experience, an 8- to 10-course tasting menu created by one of the country’s most celebrated and artistic chef. The 2 _ hour dining experience is set in an exquisite atmosphere with extraordinary service.",luxury,two stars michelin,,ever be for those seek an epic dine experience an 8 to 10-course tasting menu create by one of the country’s most celebrate and artistic chef the 2.5hour dine experience be set in an exquisite atmosphere with extraordinary service,ever be for those seek an epic dine experience an 8 to 10-course tasting menu create by one of the country’s most celebrate and artistic chef the 2.5hour dine experience be set in an exquisite atmosphere with extraordinary service,choosechicago
Moody Tongue,"In a polished yet warm, minimalist setting, Executive Chef James Bingham's signature fare intersects with innovative pairings through the manipulation v=intersects with innovative pairings through the manipulation intersects with innovative pairings through the manipulation of temperature, quantity, verticals, tinctures and more, highlighting both the culinary ingredients used in creating each dish as well as Moody Tongue's culinary brewing techniques.",luxury,two stars michelin,,in a polished yet warm minimalist setting executive chef james bingham's signature fare intersect with innovative pairing through the manipulation of temperature quantity vertical tincture and more highlight both the culinary ingredient use in create each dish as well as moody tongue's culinary brewing technique,in a polished yet warm minimalist setting executive chef james bingham's signature fare intersect with innovative pairing through the manipulation of temperature quantity vertical tincture and more highlight both the culinary ingredient use in create each dish as well as moody tongue's culinary brewing technique,choosechicago
Oriole,"Oriole is a contemporary-American restaurant located in Chicago’s West Loop neighborhood featuring Executive Chef and Owner Noah Sandoval’s award winning tasting menu. Since Oriole’s opening in 2016, it has repeatedly earned two Michelin stars and recently received the Jean Banchet Award for Restaurant of the Year. Chef Sandoval is also a James Beard nominated chef and was named one of Food & Wine’s Best New Chefs in 2017.",luxury,two stars michelin,,oriole be a contemporary-american restaurant locate in chicago’s west loop neighborhood feature executive chef and owner noah sandoval’s award win tasting menu since oriole’s open in 2016 it have repeatedly earn two michelin star and recently receive the jean banchet award for restaurant of the year chef sandoval be also a james beard nominate chef and be name one of food & wine’s best new chef in 2017,oriole be a contemporary-american restaurant locate in chicago’s west loop neighborhood feature executive chef and owner noah sandoval’s award win tasting menu since oriole’s open in 2016 it have repeatedly earn two michelin star and recently receive the jean banchet award for restaurant of the year chef sandoval be also a james beard nominate chef and be name one of food & wine’s best new chef in 2017,choosechicago
